"Название модели, книги","Бренд, издательство, фабрика, завод",Категория,"Год производства, начало выпуска модели",Окончание производства,Страна производитель,Город,Инвентаризационный номер,Тираж,"Автор, типография",Серийный номер аппарата,"Вес, гр","Размер аппарата  собранном виде, мм",Тип компоновки,Тип корпуса,Материал корпуса,Тип камеры (по размеру кадра),"Размер кадра, см","Длина открытого меха, мм",Тип фотоматериала,Затвор,Объектив,Номер объектива,Светосила,"Фокус, см",Примечание,,,,,,
Billy Clack 74,Agfa,Фотоаппарат,1934,1940,Германия,Мюнхен,43,,,TE4715,550,155х75х30,"Однообъективная, вертикальная",С раздвижным мехом на двух стойках,"Алюминий, кожа (искусственная), сталь",Форматная,6х9,50,"Плёнка типа 120 (61,5-мм рольфильм)",,Agfa Bilinar,,,11.0,Передняя панель украшена глянцевой черной эмалью с полосками хрома.,,,,,,
Super Solinette,Agfa,Фотоаппарат,1953,1957,Германия,Мюнхен,44,,,ZT 4816,525,120x90x35,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Малоформатная,"2,4x3,6",30,Плёнка типа 135 (35-мм фотоплёнка),Compur,Agfa Solinar Synchro,R20247,"1:3,5",5.0,В США данная модель продавалась под названием Ansco Super Regent.,,,,,,
Retina (149),Kodak,Фотоаппарат,1939,1940,Германия,,45,,,2581251K,468,120x80x30,"Однообъективная, горизонтальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Малоформатная,"2,4x3,6",10,Плёнка типа 135 (35-мм фотоплёнка),Prontor,Schneider-Kreuznach Retina Xenar,1419833,"1:3,5",5.0,Внутри фотоаппарата на крышке наклейка с рекламой фотопленки Kodak Film №135,,,,,,
Weltini,Welta,Фотоаппарат,1937,1941,Германия,,46,,,,615,120x90x30,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Малоформатная,"2,4x3,6",10,Плёнка типа 135 (35-мм фотоплёнка),Compur Rapid ,F.Deckel Munchen Schneider-Kreuznach Xenar,1021953,"1:2,8",5,"Наклейка на внутренней стороне крышки фотоаппарата ""Bezee"".
Сверху на модели есть таблица соответствия диафрагмы и расстояния",,,,,,
Ikonta 521/16,Ziess Ikon,Фотоаппарат,1948,1953,Германия,Дрезден,47,,,37320,567,135x90x31,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х9,40,Пленка , Prontor-S,"Zeiss Ikon
Novar Anastigmat",,"1:3,5","7,5","На крышке изнутри выбито название рекомендуемой пленки  Zeiss Ikon Film B2 6x9 2,25x3,25 in",,,,,,
Perle,Welta,Фотоаппарат,1934,1939,Германия,Дрезден,48,,,,583,130x85x35,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,"4,5x6",60,Пленка ,Compur,"Zeiss Ikon
Radionar",,,"7,5","На крышке изнутри выбито название рекомендуемой пленки  Zeiss Ikon Film B2 6x9 2,25x3,25 in",,,,,,
Nettar 515/16,Ziess Ikon,Фотоаппарат,1937,1941,Германия,Дрезден,49,,,K81480,470,135x85x35,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х6,65,Пленка ,TELMA Zeiss Ikon,Novar Anastigmat,,"1:6,3","7,5",,,,,,,
Auta,Wirgin,Фотоаппарат,1935,,Германия,,50,,,,630,155x85x38,"Однообъективная, вертикальная",С раздвижным мехом,Алюминий,Форматная,6х9,85,Пленка ,,Wirgin Wiesbaden Gewironar ,,"1:6,3","10,5",,,,,,,
Ikonta 521/16,Ziess Ikon,Фотоаппарат,1948,1953,Германия,Дрезден,51,,,E81995,567,135x90x31,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х9,40,Пленка ,,"Zeiss Ikon
Novar Anastigmat",,"1:3,5","7,5","На крышке изнутри выбито название рекомендуемой пленки  Zeiss Ikon Film B2 6x9 2,25x3,25 in
Наклейка с рекламой пленки Zeiss Ikon Film",,,,,,
Ikonta 521/16,Ziess Ikon,Фотоаппарат,1948,1953,Германия,Дрезден,52,,,H98141,567,135x90x31,"Однообъективная, горизонтальная",С раздвижным мехом,Алюминий,Форматная,6х9,40,Пленка ,,"Zeiss Ikon
Novar Anastigmat",,"1:3,5","7,5","На крышке изнутри выбито название рекомендуемой пленки  Zeiss Ikon Film B2 6x9 2,25x3,25 in
Наклейка с рекламой пленки Zeiss Ikon Film",,,,,,
Standard Box,Bilora,Фотоаппарат,1952,1954,Германия,,53,,,,475,127x107x85,"Однообъективная, вертикальная",Бокс камера,Алюминий,Форматная,6х9,,"Плёнка типа 120 (61,5-мм рольфильм)",,Synchro-flash,,,,,,,,,,
Vollenda 620,KODAK,Фотоаппарат,1934,1940,Германия,,54,,,A111514,515,128x90x38,"Однообъективная, вертикальная",С раздвижным мехом,"Алюминий, кожа (искусственная), сталь",Форматная,6х6,65,Пленка,Kodak Compur ,Anastigmat ,1716762,"1:3,5",7.5,,,,,,,
Турист,ГОМЗ ,Фотоаппарат,,,СССР,,55,,,,501,130x90x45,"Однообъективная, вертикальная",Клапп-камера,Бакелит,Форматная,6х9,65,Пластина,ГОМЗ,Индустар 7,655753,"1:3,5","10,5",,,,,,,
