"Название модели, книги","Бренд, издательство, фабрика, завод",Категория,"Год производства, начало выпуска модели",Окончание производства,Страна производитель,Город,Инвентаризационный номер,Тираж,"Автор, типография",Серийный номер аппарата,"Вес, гр","Размер аппарата  собранном виде, мм",Тип компоновки,Тип корпуса,Материал корпуса,Тип камеры (по размеру кадра),"Размер кадра, см","Длина открытого меха, мм",Тип фотоматериала,Затвор,Объектив,Номер объектива,Светосила,"Фокус, см"
The soho cadet,Soho,Фотоаппарат,,,Великобритания,Лондон ,913,,,,,80х165х33,однообъективный,жесткий,пластик,,,67,пленка,,soho cadet,,,
Фотокор-1,,Фотоаппарат,,,,,914,,,,,110х158х50,однообъективный,жесткий,"метал, кожа",,,115,пластина,,compuur,150503,"1:4,5",13.5
DRGM,,фотоаппарат,,,,,915,,,,,120х150х50,однообъективный,жесткий,"метал, кожа",,,104,пластина,,Doppel-Anastigmat Jraplast ,233245,"1:5,5",13.5
Zeiss Ikon,,Фотоаппарат,,,,,916,,,,,105х45х150,однообъективный,жесткий,"метал, кожа",,,110,пластина,,Simplex,,1:9,14.0
Comet2,,Фотоаппарат,,,Италия,Милан,917,,,,,100х70х21,однообъективны,жесткий,нержавеющая сталь,,,,пленка типа 127,,,,"1:1,2",7.0
Union,Hugo Stocklg&Co,Фотоаппарат,,,,Дрезден ,918,,,,,55х155х205,однообъективный,жесткий,"метал, кожа, дерево",,,176,пластина,,,,,
baosch&Lomb OPT.Co.Pat. APP,,Фотоаппарат,,,,,919,,,,,160х55х215,однообъективный,жесткий,"метал, кожа",,,225,пластина,,ROJA vorm Emil Busch,4896192,,
подводная камера ,ЛОМО,фотокамера,,,СССР,,920,,,,,250х90х180,,,нержавеющая сталь,,,,,,,,,
железнодорожный фонарь,,,,,СССР,,921,,,,,170х400х170,,,метал,,,,,,,,,
железный диск для проигрывателя,,,,,,,922,,,,,,,,метал,,,,,,,,,
Полевой бинокль,,Бинокль,,,,,923,,,Ю40161,,160х160х50,,,"метал, резина",,,,,,,,,
СЭФ-3,,,,,,,924,,,4885Ж,,45х98х70,,,пластик,,,,,,,,,
"Фотообъектив ""Юпитер 9"" для фотоаппарата Зорке",,,,,,,925,,,,,50х85х50,,,метал,,,,,,,5603075,1:02,8.5
Фотовспышка Блик,Ломо,,,,СССР,,926,,,,,90х30х23,,,"пластик, метал",,,,,,,,,
Экспонометр,,,,,,,927,,,127761,,57х46х25,,,"пластик, метал",,,,,,,,,
Свердловск 4,Экспонометр,,,,СССР,,928,,,,,50х90х23,,,,,,,,,,,,
Объектив,,,,,СССР,,929,,,7706,,42х49х15,,,метал,,,,,,,,01:03.5,5
Объектив ФЭД,,,,,СССР,,930,,,,,55х55х45,,,метал,,,,,,,6988451,01:02.8,52
Пленка Киев,,,,,СССР,,931,,,,,52х30х30,,,пластик,,,,,,,,,
Стерео очки,,,,,,,932,,,,,142х45х20,,,пластик,,,,,,,,,
фото цвет 9,Цветная фотографическая бумага,,,,,,933,,,,,187х135х22,,,,,,,,,,,,
проявитель с содой ,Н-1,,,,СССР,,934,,,,,,,,,,,,,,,,,
Проявитель ,,,,,ССР,,935,,,,,100х33х33,,,,,,,,,,,,
Пленка ORWO HROM,,,,,,,936,,,,,,,,,,,,,,,,,
Пленка ORWO COLOR,,,,,,,937,,,,,,,,,,,,,,,,,
Зеркальная лампа для фото кино съемок,,,,,,,938,,,,,,,,,,,,,,,,,
Фотобумага,,,,,,,939,,,,,,,,,,,,,,,,,
Фотобумага,,,,,,,940,,,,,,,,,,,,,,,,,
Набор красок для фотоснимков,,,,,,,941,,,,,,,,,,,,,,,,,
фото пластинки,,,,,,,942,,,,,,,,,,,,,,,,,
Фото пластинки,,,,,,,943,,,,,,,,,,,,,,,,,
Набор химикатов,,,,,,,944,,,,,,,,,,,,,,,,,
"Устройство для фотопечати ""Импульс""",,,,,,,945,,,,,,,,,,,,,,,,,
Книга фотоаппаратура и оборудование фотопредприятий служба быта,,,,,,,946,,,,,,,,,,,,,,,,,
Первая книга по фотографии,,книги,,,,,947,,,,,,,,,,,,,,,,,
Электронные лампы-вспышки,,Книги,,,,,948,,,,,,,,,,,,,,,,,
Репродукционная фотосъемка,,Книги,,,,,949,,,,,,,,,,,,,,,,,
Журнал советское фото,,,,,,,950,,,,,,,,,,,,,,,,,
Аркадий Шайхет,,Книга,,,,,951,,,,,,,,,,,,,,,,,
Инструкция по эксплуатации,Зоркий,,,,,,952,,,,,,,,,,,,,,,,,
Инструкция по эксплуатации,Зенит 2,,,,,,953,,,,,,,,,,,,,,,,,
Инструкция по эксплуатации,Смена 2,,,,,,954,,,,,,,,,,,,,,,,,
Инструкция по эксплуатации,Зенит В,,,,,,955,,,,,,,,,,,,,,,,,
Инструкция по эксплуатации,ФЭД3,,,,,,956,,,,,,,,,,,,,,,,,
Инструкция по эксплуатации,Смена 2,,,,,,957,,,,,,,,,,,,,,,,,
Проявитель УП-2,,,,,,,958,,,,,,,,,,,,,,,,,
Фиксаж БКФ-2,,,,,,,959,,,,,,,,,,,,,,,,,
"Трость с ручкой ""Голова кабана""",,,,,,,960,,,,,,,,,,,,,,,,,
Фотографическая бумага Унибром,,,,,,,961,,,,,,,,,,,,,,,,,
Штатив дерево,,,,,,,962,,,,,,,,,,,,,,,,,
Штатив дерево,,,,,,,963,,,,,,,,,,,,,,,,,
Штатив дерево,,,,,,,964,,,,,,,,,,,,,,,,,
Штатив красное дерево,,,,,,,965,,,,,,,,,,,,,,,,,
